[30/01/2025 18:46:16,73]  
[07/02/2025 20:38:24,83] Backup copiado com sucesso para "H:\Meu Drive\NADIR_2024\Backup\backup_redeescola.sql". 
[08/02/2025 18:32:09,15] Iniciando backup do banco de dados. 
[08/02/2025 18:32:09,15] Backup realizado com sucesso em "G:\Meu Drive\Arquivos Escola PNNM\Meus projetos\GestaoEscolar1\backup_redeescola.sql". 
[08/02/2025 18:32:09,15] Backup copiado com sucesso para "H:\Meu Drive\NADIR_2024\Backup\backup_redeescola.sql". 
[09/02/2025 14:04:28,92] Iniciando restauracao do banco de dados. 
[09/02/2025 14:04:28,92] Banco de dados restaurado com sucesso a partir de "H:\Meu Drive\NADIR_2024\Backup\backup_redeescola.sql". 
[09/02/2025 15:19:13,95] Iniciando backup do banco de dados. 
[09/02/2025 15:19:13,95] Backup realizado com sucesso em "G:\Meu Drive\Arquivos Escola PNNM\Meus projetos\GestaoEscolar1\backup_redeescola.sql". 
[09/02/2025 15:19:13,95] Backup copiado com sucesso para "H:\Meu Drive\NADIR_2024\Backup\backup_redeescola.sql". 
[09/02/2025 15:30:04,01] Iniciando backup do banco de dados. 
[09/02/2025 15:30:04,01] Backup realizado com sucesso em "G:\Meu Drive\Arquivos Escola PNNM\Meus projetos\GestaoEscolar1\backup_redeescola.sql". 
[09/02/2025 15:30:04,01] Backup copiado com sucesso para "H:\Meu Drive\NADIR_2024\Backup\backup_redeescola.sql". 
[09/02/2025 20:50:10,00] Iniciando backup do banco de dados. 
[09/02/2025 20:50:10,00] Backup realizado com sucesso em "G:\Meu Drive\Arquivos Escola PNNM\Meus projetos\GestaoEscolar1\backup_redeescola.sql". 
[09/02/2025 20:50:10,00] Backup copiado com sucesso para "H:\Meu Drive\NADIR_2024\Backup\backup_redeescola.sql". 
[09/02/2025 21:50:08,43] Iniciando backup do banco de dados. 
[09/02/2025 21:50:08,43] Backup realizado com sucesso em "G:\Meu Drive\Arquivos Escola PNNM\Meus projetos\GestaoEscolar1\backup_redeescola.sql". 
[09/02/2025 21:50:08,43] Backup copiado com sucesso para "H:\Meu Drive\NADIR_2024\Backup\backup_redeescola.sql". 
[10/02/2025 21:55:44,17] Iniciando backup do banco de dados. 
[10/02/2025 21:55:44,17] Backup realizado com sucesso em "G:\Meu Drive\Arquivos Escola PNNM\Meus projetos\GestaoEscolar1\backup_redeescola.sql". 
[10/02/2025 21:55:44,17] Backup copiado com sucesso para "H:\Meu Drive\NADIR_2024\Backup\backup_redeescola.sql". 
[11/02/2025 16:59:14,87] Iniciando backup do banco de dados. 
[11/02/2025 16:59:14,87] Backup realizado com sucesso em "G:\Meu Drive\Arquivos Escola PNNM\Meus projetos\GestaoEscolar1\backup_redeescola.sql". 
[11/02/2025 16:59:14,87] Backup copiado com sucesso para "H:\Meu Drive\NADIR_2024\Backup\backup_redeescola.sql". 
[12/02/2025 23:55:51,99] Iniciando backup do banco de dados. 
[12/02/2025 23:55:51,99] Backup realizado com sucesso em "G:\Meu Drive\Arquivos Escola PNNM\Meus projetos\GestaoEscolar1\backup_redeescola.sql". 
[12/02/2025 23:55:51,99] Backup copiado com sucesso para "H:\Meu Drive\NADIR_2024\Backup\backup_redeescola.sql". 
[13/02/2025  8:33:54,39] Iniciando backup do banco de dados. 
[13/02/2025  8:33:54,39] Backup realizado com sucesso em "G:\Meu Drive\Arquivos Escola PNNM\Meus projetos\GestaoEscolar1\backup_redeescola.sql". 
[13/02/2025  8:33:54,39] Backup copiado com sucesso para "H:\Meu Drive\NADIR_2024\Backup\backup_redeescola.sql". 
[13/02/2025 10:39:40,40] Iniciando backup do banco de dados. 
[13/02/2025 10:39:40,40] Backup realizado com sucesso em "G:\Meu Drive\Arquivos Escola PNNM\Meus projetos\GestaoEscolar1\backup_redeescola.sql". 
[13/02/2025 10:39:40,40] Backup copiado com sucesso para "H:\Meu Drive\NADIR_2024\Backup\backup_redeescola.sql". 
[13/02/2025 17:05:50,73] Iniciando backup do banco de dados. 
[13/02/2025 17:05:50,73] Backup realizado com sucesso em "G:\Meu Drive\Arquivos Escola PNNM\Meus projetos\GestaoEscolar1\backup_redeescola.sql". 
[13/02/2025 17:05:50,73] Backup copiado com sucesso para "H:\Meu Drive\NADIR_2024\Backup\backup_redeescola.sql". 
[13/02/2025 22:18:05,02] Iniciando backup do banco de dados. 
